"Variable" "SubjectCode" "Activity" "Mean"
"BodyAccelerometerSignalMeanX" 1 "Laying" 0.22159824394
"BodyAccelerometerSignalMeanX" 1 "Sitting" 0.261237565425532
"BodyAccelerometerSignalMeanX" 1 "Standing" 0.278917629056604
"BodyAccelerometerSignalMeanX" 1 "Walking" 0.277330758736842
"BodyAccelerometerSignalMeanX" 1 "Walking Downstairs" 0.289188320408163
"BodyAccelerometerSignalMeanX" 1 "Walking Upstairs" 0.255461689622641
"BodyAccelerometerSignalMeanX" 2 "Laying" 0.281373403958333
"BodyAccelerometerSignalMeanX" 2 "Sitting" 0.27708735173913
"BodyAccelerometerSignalMeanX" 2 "Standing" 0.277911472222222
"BodyAccelerometerSignalMeanX" 2 "Walking" 0.276426586440678
"BodyAccelerometerSignalMeanX" 2 "Walking Downstairs" 0.27761534806383
"BodyAccelerometerSignalMeanX" 2 "Walking Upstairs" 0.247164790395833
"BodyAccelerometerSignalMeanX" 3 "Laying" 0.275516852741935
"BodyAccelerometerSignalMeanX" 3 "Sitting" 0.257197599134615
"BodyAccelerometerSignalMeanX" 3 "Standing" 0.280046513278689
"BodyAccelerometerSignalMeanX" 3 "Walking" 0.275567462068966
"BodyAccelerometerSignalMeanX" 3 "Walking Downstairs" 0.292423484693878
"BodyAccelerometerSignalMeanX" 3 "Walking Upstairs" 0.260819873067797
"BodyAccelerometerSignalMeanX" 4 "Laying" 0.263559214981481
"BodyAccelerometerSignalMeanX" 4 "Sitting" 0.27153827992
"BodyAccelerometerSignalMeanX" 4 "Standing" 0.280499745892857
"BodyAccelerometerSignalMeanX" 4 "Walking" 0.278582015166667
"BodyAccelerometerSignalMeanX" 4 "Walking Downstairs" 0.279965329555556
"BodyAccelerometerSignalMeanX" 4 "Walking Upstairs" 0.270876696730769
"BodyAccelerometerSignalMeanX" 5 "Laying" 0.278334325576923
"BodyAccelerometerSignalMeanX" 5 "Sitting" 0.273694139545455
"BodyAccelerometerSignalMeanX" 5 "Standing" 0.282544390892857
"BodyAccelerometerSignalMeanX" 5 "Walking" 0.27784234625
"BodyAccelerometerSignalMeanX" 5 "Walking Downstairs" 0.29354392712766
"BodyAccelerometerSignalMeanX" 5 "Walking Upstairs" 0.268459469914894
"BodyAccelerometerSignalMeanX" 6 "Laying" 0.248656520140351
"BodyAccelerometerSignalMeanX" 6 "Sitting" 0.276778487454545
"BodyAccelerometerSignalMeanX" 6 "Standing" 0.280346248596491
"BodyAccelerometerSignalMeanX" 6 "Walking" 0.283658868070175
"BodyAccelerometerSignalMeanX" 6 "Walking Downstairs" 0.277045258145833
"BodyAccelerometerSignalMeanX" 6 "Walking Upstairs" 0.268229355098039
"BodyAccelerometerSignalMeanX" 7 "Laying" 0.250176694038462
"BodyAccelerometerSignalMeanX" 7 "Sitting" 0.284674637291667
"BodyAccelerometerSignalMeanX" 7 "Standing" 0.282723539433962
"BodyAccelerometerSignalMeanX" 7 "Walking" 0.275592961754386
"BodyAccelerometerSignalMeanX" 7 "Walking Downstairs" 0.28030708
"BodyAccelerometerSignalMeanX" 7 "Walking Upstairs" 0.248706923078431
"BodyAccelerometerSignalMeanX" 8 "Laying" 0.261254282907407
"BodyAccelerometerSignalMeanX" 8 "Sitting" 0.267491472934783
"BodyAccelerometerSignalMeanX" 8 "Standing" 0.279620986111111
"BodyAccelerometerSignalMeanX" 8 "Walking" 0.27468631
"BodyAccelerometerSignalMeanX" 8 "Walking Downstairs" 0.283484089210526
"BodyAccelerometerSignalMeanX" 8 "Walking Upstairs" 0.258880152048781
"BodyAccelerometerSignalMeanX" 9 "Laying" 0.2591955368
"BodyAccelerometerSignalMeanX" 9 "Sitting" 0.24832674354
"BodyAccelerometerSignalMeanX" 9 "Standing" 0.282310057333333
"BodyAccelerometerSignalMeanX" 9 "Walking" 0.278502842115385
"BodyAccelerometerSignalMeanX" 9 "Walking Downstairs" 0.295923445
